Date,Rating,Review,Pros,Cons,Advices,,
13 avr. 2025,5,Terrific experience,"Salary, connections, nature of work","Stress, pressure, complicated work life balance",N/A,,
13 mars 2025,3,"Toxic culture, lots of learnings","The OECD provides ample opportunities to grow professionally, develop expertise, enhance skills and build international networks","The work culture is known to often be rather problematic, problems of harassment are frequent, competition is fierce, job insecurity high","Take the OECD as a stepping stone, protect yourself",,
26 mars 2025,4,Evolving environment,Good salary and nice benefits,Very competitive to get a position,N/A,,
4 mars 2025,3,Fixed term contract,Very diverse and international working environment,"Most positions are based on fixed-term contracts often renewable but the process can take very long.

Recrutement process is also long. Many interviews and tests.",Too much turn over. It would be better to have longer contracts instead.,,
2 mars 2025,2,Temporary Policy Analyst,"Exposure to several policy topics.
Acquaintance with professionals from different backgrounds and countries.
Living in Paris.
Work visa.","Short-term contracts.
Low initial salaries.
Long shifts and tight deadlines.
No benefits.",N/A,,
10 févr. 2025,3,"short-term contracts, strong salary discrepancies with official staff while doing same work","international atmosphere, mostly good working conditions, interesting topics","same job as official staff with close to half the salary, strong salary discrepancies leads to dissatisfaction",N/A,,
2 févr. 2025,4,bon,"Internationale
Interresant 
Renommee
Collegues sympa et qualifié",modalités des contrats pour staff temporaire,N/A,,
7 janv. 2025,5,Excellente expérience,"J'ai pu découvrir l'intégralité des métiers du directorat, y compris dans l'organisation, la rédaction et la communication et m'adapter très rapidement grâce à une super équipe !",Les salaires restent à 700 euros par mois à peu près pour tous les stagiaires.,N/A,,
28 janv. 2025,4,Stimulating,"Competitive High Net Salary, Health Insurance","No bonus, high workload, weird career progression system",N/A,,
22 janv. 2025,4,Bonne experience,Accès à beaucoup d’informations et de ressources.,Système incertain et opaque de postes.,N/A,,
6 janv. 2025,3,Internship,It's the easiest way to enter the organisation,It's not enough to live in Paris,N/A,,
14 déc. 2024,5,Salary OECD,"Good collegues, interesting topics and high wage.",Lots of work and pressure periodically.,N/A,,
5 juil. 2024,1,Organisation toxique,Etre au coeur des enjeux géo-politiques,"1-Très grande précarité. 50% du personnel est en CDD (souvent les postes de grade B et C) mais avec un statut très nettement moins favorable que le droit du travail français. Les autres 50% ont des contrats permanents avec beaucoup d'avantages ce qui crée des distorsions importantes dans les relations de travail.
2- management hautement toxique : aucune importance accordées au management. Des personnes très diplomées ayant un contrat permanent se retrouvent à la tête d'équipes en les traitant comme des ressources corvéables à merci
3- si vous avez des problèmes dans votre travail, ce sera le tribunal administratif de l'OCDE qui tranchera. Comme son nom l'indique, cette instance est à la fois juge et partie. A titre d'exemple, l'ancienne DRH, qui était protégée par le Secrétaire général, a été reconnue coupable de harcèlement sur plusieurs membres de son équipe. Elle a reçu un simple blâme et a été maintenue dans ses fonctions",N/A,,
24 oct. 2024,2,"Plus bureaucratique, tu meurs","Bon salaire, exonéré d’impôts sur les revenus, collègues sympas.","Bureaucracie extrême. Beaucoup de blabla au sujet du bien être du personnel mais en réalité, les quelques efforts ont pour unique but d’éviter des procédures.",N/A,,
15 nov. 2024,4,2 weeks,Networking with an international community,Poor career progression and professional development,NA,,
23 oct. 2024,5,Internship at the OECD,"Relatively well paid compared to other internships in France, real responsibilities, good learning opportunity",Does not necessarily lead to a job,N/A,,
20 févr. 2024,4,"Very good employer, but room for improvement.","Excellent pay and benefits.
Very interesting work.
Very interesting colleagues.","Management skills need improving throughout the organisation, both operations management and people management.
Executive directorate provides sub-standard services to employees, in terms of human resource management, IT services, and facilities.
Dual labour market, with those with tenure often working very little and those on fixed-term contracts doing the bulk of the work.
Very opaque process to decide on who gets tenured, and the process does not seem meritocratic.","Adopt open and transparent recruitment procedures to hire the best talent (use blind psychometric assessments at first stage instead of CVs, blind demographic information on CVs to hiring manager, eliminate panel interviews which have been discredited in the literature - just adopt best practice), abolish dual labour market (use fixed-term contracts only for those on secondment, those substituting people on leave, or for genuinely fixed-term projects; others should be hired on indefinite contracts subject to probation period, and dismissed with just cause, or with indemnity proportional to years of service, when necessary). Make sure that managers have management skills - in operations management and people management.",,
14 oct. 2024,4,Internship,Fine. Very dependent on team.,Very few chances of full time position upon completion.,N/A,,
14 oct. 2024,2,good,"good salary, nice colleagues, nice environment","hierarchical, big structure, high anonymity",N/A,,
22 avr. 2024,2,Intellectually enriching but toxic work culture is widespread,"Intelligence co-workers, interesting work, access to high-level debates, above average salary. Excellent family benefits, as the system is still structured for the 1960s family single breadwinner format. There is even benefits for non-working spouse.","Long hours with no overtime. Short employment contract that leave you vulnerable if you are not an EU citizen. Widespread toxic work culture that values overwork, not taking sick leave and over investing yourself. Managers often have very limited training in managing. Many cases of middle-level staff appropriating work of more junior staff to get promoted. High-turnover of staff. Some team have a better work dynamic, but there is a general contagion effect across most of the departments. It is also a very difficult system to enter, like all international organisations.",Do not see high-turnover of staff as a KPI.,,
22 sept. 2024,4,Overall experience,"Great team, interesting work, great salary and benefits (if staff)","Slow and long internal processes, non-staff contracts with much less benefits",N/A,,
26 sept. 2024,4,Good,Good Good Good Good Good,contract contract contract contract contract,N/A,,
10 sept. 2024,4,Salary analyst,"Travel, data availability and international environment","Management, working hours and promotions",N/A,,
7 sept. 2024,3,Policy Analyst,Good company and good opportunities,"Very good, but sometimes lack of organiation",N/A,,
13 juil. 2024,2,Bullying,"Salary , Location, Coworkers, Multicultural, healthcare","Bullying is left unaddressed 
Old staff who have been there for years are left to treat people extremely badly
Lack of job security, no CDI",N/A,,
3 août 2024,3,oui,"interntional, netowrking, bright people, stimulating works","hierarchical, political, slow, senior staff difficult",N/A,,
11 mai 2024,4,"Great place to work, but poor conditions as a temporary staff","Meaningful
Great colleagues
Top of your field in public policy
Networking opportunities
Small teams
Varied tasks","In general:
- Bureaucratic
- Favouritism / lack of meritocratic career growth
- Political
- Managers’ competence and quality is very variable

For temporary staff specifically:
- much lower salaries compared to official staff
- potential to be exploited 
- general lack of support from managers and the staff association",N/A,,
17 mars 2024,5,stage 7 mois (octobre-mai),"- teletravail 2x per week
- felt comfortable to work in the team, good and prestigious environment (good balance between work and personal life)
- many interns, good to network
- possibility to extend contract (up to 12 months, but depends on department)","- OECD doesnt refund 50% of transport costs (Navigo)
- rémunération is very low for Paris standards (1k per month)
- cantine is abnormally expensive 
- little to no possibility of continuing to work full-time afterwards (depends on department)",N/A,,
27 avr. 2024,3,"Interesting work, frustrating career structure and progression","Interesting work, Good place to build analytical skills and gain experience on policy work.",Workplace environment depends on the team. Very low advantages of being temporary staff. Career system is structured in a way that makes progression difficult and stability almost impossible.,N/A,,
29 mars 2024,5,Good experience,Diversity of nationalities + interest of projects and initiatives,Sometimes the context gets too political where it is not always necessary,There is a need to encourage internal promotion and exchanges of staff between Directorates,,
11 avr. 2024,5,Tres bien,"- horaires raisonable, management sympa, boulot tres interessant","- system pas transparent, pas de visibilite sur le futur",changez entierement de system,,
8 janv. 2024,3,Temporary staff are not fairly compensated,"Interesting subjects, well-regarded institution, junior staff usually very implicated in high-level projects.",No job security for the first 5+ years of your career. Process of advancing in the organisation is opaque and unnecessarily complex. Temporary staff are paid half as much as officials for the same roles and responsibilities.,N/A,,
14 mars 2024,4,Top!!,Très bonne première expérience je recommande,Une hiérarchie assez importante qui écrase la prise d’initiative etc.,N/A,,
15 avr. 2024,1,A fuire...,C'est un salaire important par rapport au moyen national.,Mauvaise ambiance au travail et bcp de problemes d'harcelement et comportement inapproprie.,N/A,,
7 nov. 2023,5,Great international setting and excellent first work experience,"An international organisation that delivers high quality work with real impact for the member and non-member countries. Excellent international setting, stimulating work environment.","As a temporary staff, a 2 year limit is set for working at the organisation. After 2 years, a 6 month break is obligatory before being able to be reemployed again as a temporary staff.",N/A,,
11 févr. 2024,3,Interessant,"International, sujets intéressants, diversité de profils",Dichotomie marquée entre CDD et CDI source de stress,N/A,,
22 déc. 2023,5,Intern,Monthly stipend for students finishing their masters or bachelors,"No other advantages inlcuding, transport, metro card etc.",N/A,,
12 déc. 2023,3,"Environnement de travail correct, mais besoin d'amélioration à plusieurs niveaux",Équilibre vie professionnelle vie privée,Difficulté à évoluer lorsqu'on occuper un poste en assistanat.,N/A,,
14 févr. 2024,1,Cage dorée,"Salaires élevés, télétravail, flexibilté, jours de congés plus élévés","Management à l'américaine. 
CDD à répétition
0 avantages",N/A,,
4 nov. 2023,2,Burn out culture,Salary and international environment and colleagues,Bad management High workload No supervision,N/A,,
11 août 2023,2,exploitation of overqualified employees,"Interesting material and working with colleagues from around the world, very diverse environment","too hieararchical, most high up and well-paid positions are held by white men; very ageist, very sexist; once inside oranisation there is not a lot of room for career growth",N/A,,
17 sept. 2023,5,Très bonne boite,Très bonne boite. Prend soin de ses employés,Horaires très flexibles. vous pouvez travailler tard,N/A,,
5 sept. 2023,4,Bien,"Environnement multiculturel et stimulant, salaires intéressants","Large staff, charge de travail, heures sup non payées",N/A,,
15 juil. 2023,2,Des avantages et inconvénients,"Intérêt de la mission, interlocuteurs internationaux",culture d'organisation archaïque qui ne laisse pas la place à l'expression des individus et les enferme dans des rôles qu'ils ne souhaitent pas,se former au management,,
5 juil. 2023,4,Organisation aux missions intéressantes malgré un fonctionnement bureaucratique,Très bon salaire (pour les administrateurs principaux). Environnement multiculturel et stimulant intellectuellement. Mobilité interne encouragée.,Contrats souvent courts créant grande incertitude. Grande bureaucratie avec fonctionnement très vertical.,N/A,,
13 juin 2023,2,Extraordinarily bureaucratic and hierarchical,"High salary, friendly colleagues, good mutuelle.","Extremely bureaucratic and hierarchical. Total lack of long-term job security (unless you’ve been « converted »), long working hours plus lots of unpaid overtime.",Follow the oecd’s own recommendations on employee well-being.,,
25 mai 2023,2,NO,Very interesting environment: working with various nationalities. Salary for the officials only,"everything else. Bad atmosphere, no HR's. The middle management is horrible: lack of consideration, no empathy... Support staff stick to this work as it tax free and the salary is quite good.",N/A,,
5 avr. 2023,4,positif,"équipe sympa, sujets interessants, bon cadre de travail",conditions de travail compliquées pour les consultants externes,N/A,,
